"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"161.202.174.0","0.ae.caa1.ip4.static.sl-reverse.com","Japan","Tokyo","Tokyo","SOFTLAYER","36351","35.6893","139.6899"
"163.53.156.0","","South Korea","","","CMB Sejong Broadcasting Co,.Ltd","38387","37.5112","126.9741"
"163.152.0.0","","South Korea","Seoul","Seoul","Korea University","9452","37.5576","126.9937"
"163.180.0.0","","South Korea","Seoul","Dongdaemun-gu","Kyung Hee University","17870","37.5841","127.0616"
"163.213.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"163.222.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"163.229.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"163.239.0.0","","South Korea","Seoul","Seoul","Sogang University","3813","37.5576","126.9937"
"163.255.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"164.124.0.0","","South Korea","","","LG DACOM Corporation","3786","37.5112","126.9741"
"164.125.0.0","","South Korea","","","Pusan National University","9274","37.5112","126.9741"
"165.132.0.0","","South Korea","Seoul","Mapo-gu","Yonsei University","4665","37.5433","126.9073"
"165.133.0.0","","South Korea","Incheon","Seo-gu","Korea Telecom","4766","37.5488","126.6578"
"165.141.0.0","","South Korea","","","KUMHO TIRE","18322","37.5112","126.9741"
"165.141.64.0","","South Korea","","","KUMHO TIRE","18322","37.5112","126.9741"
"165.141.96.0","","South Korea","","","KUMHO TIRE","18322","37.5112","126.9741"
"165.141.112.0","","South Korea","","","ASIANAIDT","9761","37.5112","126.9741"
"165.141.128.0","","South Korea","Seoul","Gangseo-gu","ASIANAIDT","9761","37.5662","126.8309"
"165.186.0.0","","South Korea","","","LG CNS","4668","37.5112","126.9741"
"165.194.0.0","","South Korea","Seoul","Gwanak-gu","Chung-Ang University","17575","37.4749","126.9571"
"165.213.0.0","","South Korea","","","SamsungSDS Inc.","6619","37.5112","126.9741"
"165.229.0.0","","South Korea","","","Yeungnam University","23980","37.5112","126.9741"
"165.243.0.0","","South Korea","Seoul","Seoul","LG CNS","4668","37.5576","126.9937"
"165.244.0.0","","South Korea","","","LG CNS","4668","37.5112","126.9741"
"165.246.0.0","","South Korea","","","INHA UNIVERSITY","9317","37.5112","126.9741"
"166.79.0.0","","South Korea","","","","","37.5112","126.9741"
"166.103.0.0","","South Korea","","","","","37.5112","126.9741"
"166.104.0.0","","South Korea","Seoul","Gwangjin-gu","Hanyang University","9321","37.5794","126.9754"
"166.125.0.0","","South Korea","","","Hynix Semiconductor Inc.","23581","37.5112","126.9741"
"167.179.212.0","","South Korea","","","EAGLE SKY CO LT","55303","37.5112","126.9741"
"168.1.7.64","40.07.01a8.ip4.static.sl-reverse.com","Australia","New South Wales","Sydney","SOFTLAYER","36351","-33.8715","151.2006"
"168.1.8.176","b0.08.01a8.ip4.static.sl-reverse.com","Australia","New South Wales","Sydney","SOFTLAYER","36351","-33.8715","151.2006"
"168.1.11.240","f0.0b.01a8.ip4.static.sl-reverse.com","Australia","New South Wales","Sydney","SOFTLAYER","36351","-33.8715","151.2006"
"168.1.12.48","30.0c.01a8.ip4.static.sl-reverse.com","Australia","New South Wales","Sydney","SOFTLAYER","36351","-33.8715","151.2006"
"168.1.78.128","80.4e.01a8.ip4.static.sl-reverse.com","Australia","Victoria","Melbourne","SOFTLAYER","36351","-37.8159","144.9669"
"168.78.0.0","","South Korea","","","KEPCO","18300","37.5112","126.9741"
"168.115.0.0","","South Korea","","","Dong-A Universirty","9753","37.5112","126.9741"
"168.126.0.0","","South Korea","Seoul","Songpa-gu","Korea Telecom","4766","37.5794","126.9754"
"168.131.0.0","","South Korea","","","Chonnam National University","10197","37.5112","126.9741"
"168.154.0.0","","South Korea","","","SK Co.","10049","37.5112","126.9741"
"168.188.0.0","","South Korea","","","Chungnam National University","18298","37.5112","126.9741"
"168.219.0.0","","South Korea","","","","","37.5112","126.9741"
"168.248.0.0","","South Korea","","","","","37.5112","126.9741"
